,Winner,Turn,Strategy,Goal
0,royalblue,25,Aggressive,PP
1,royalblue,31,Aggressive,PP
2,royalblue,32,Aggressive,PP
3,royalblue,24,Aggressive,PP
4,royalblue,26,Aggressive,PP
5,royalblue,21,Aggressive,PP
6,fuchsia,45,Passive,PP
7,black,23,Neutral,PP
8,royalblue,32,Aggressive,PP
9,black,27,Neutral,PP
10,black,22,Neutral,PP
11,black,27,Neutral,PP
12,royalblue,18,Aggressive,PP
13,fuchsia,23,Passive,PP
14,royalblue,30,Aggressive,PP
15,fuchsia,31,Passive,PP
16,black,37,Neutral,PP
17,fuchsia,30,Passive,PP
18,fuchsia,39,Passive,PP
19,black,28,Neutral,PP
20,royalblue,27,Aggressive,PP
21,fuchsia,39,Passive,PP
22,fuchsia,29,Passive,PP
23,fuchsia,43,Passive,PP
24,black,27,Neutral,PP
25,fuchsia,32,Passive,PP
26,fuchsia,33,Passive,PP
27,black,38,Neutral,PP
28,fuchsia,33,Passive,PP
29,black,31,Neutral,PP
30,royalblue,22,Aggressive,PP
31,fuchsia,31,Passive,PP
32,royalblue,27,Aggressive,PP
33,black,41,Neutral,PP
34,royalblue,35,Aggressive,PP
35,black,26,Neutral,PP
36,fuchsia,30,Passive,PP
37,black,28,Neutral,PP
38,royalblue,31,Aggressive,PP
39,black,24,Neutral,PP
40,fuchsia,28,Passive,PP
41,black,21,Neutral,PP
42,black,25,Neutral,PP
43,royalblue,30,Aggressive,PP
44,fuchsia,21,Passive,PP
45,black,32,Neutral,PP
46,royalblue,35,Aggressive,PP
47,fuchsia,29,Passive,PP
48,black,17,Neutral,PP
49,black,30,Neutral,PP
50,royalblue,26,Aggressive,PP
51,royalblue,18,Aggressive,PP
52,royalblue,26,Aggressive,PP
53,black,22,Neutral,PP
54,black,30,Neutral,PP
55,fuchsia,28,Passive,PP
56,fuchsia,25,Passive,PP
57,black,30,Neutral,PP
58,black,27,Neutral,PP
59,royalblue,29,Aggressive,PP
60,fuchsia,24,Passive,PP
61,black,39,Neutral,PP
62,royalblue,26,Aggressive,PP
63,royalblue,21,Aggressive,PP
64,black,28,Neutral,PP
65,black,39,Neutral,PP
66,black,34,Neutral,PP
67,fuchsia,25,Passive,PP
68,black,27,Neutral,PP
69,black,29,Neutral,PP
70,fuchsia,36,Passive,PP
71,royalblue,49,Aggressive,PP
72,royalblue,38,Aggressive,PP
73,fuchsia,53,Passive,PP
74,fuchsia,24,Passive,PP
75,fuchsia,30,Passive,PP
76,royalblue,28,Aggressive,PP
77,fuchsia,34,Passive,PP
78,black,30,Neutral,PP
79,fuchsia,23,Passive,PP
80,fuchsia,25,Passive,PP
81,royalblue,30,Aggressive,PP
82,fuchsia,32,Passive,PP
83,royalblue,28,Aggressive,PP
84,royalblue,34,Aggressive,PP
85,fuchsia,24,Passive,PP
86,fuchsia,29,Passive,PP
87,royalblue,28,Aggressive,PP
88,fuchsia,55,Passive,PP
89,fuchsia,24,Passive,PP
90,black,33,Neutral,PP
91,royalblue,18,Aggressive,PP
92,royalblue,31,Aggressive,PP
93,black,34,Neutral,PP
94,fuchsia,37,Passive,PP
95,fuchsia,20,Passive,PP
96,royalblue,25,Aggressive,PP
97,royalblue,25,Aggressive,PP
98,fuchsia,39,Passive,PP
99,black,34,Neutral,PP
100,black,20,Neutral,PP
101,royalblue,29,Aggressive,PP
102,royalblue,35,Aggressive,PP
103,black,23,Neutral,PP
104,fuchsia,32,Passive,PP
105,royalblue,26,Aggressive,PP
106,fuchsia,34,Passive,PP
107,royalblue,27,Aggressive,PP
108,black,32,Neutral,PP
109,royalblue,21,Aggressive,PP
110,fuchsia,31,Passive,PP
111,royalblue,31,Aggressive,PP
112,black,38,Neutral,PP
113,royalblue,23,Aggressive,PP
114,royalblue,27,Aggressive,PP
115,royalblue,26,Aggressive,PP
116,royalblue,23,Aggressive,PP
117,black,20,Neutral,PP
118,royalblue,25,Aggressive,PP
119,royalblue,30,Aggressive,PP
120,fuchsia,26,Passive,PP
121,royalblue,32,Aggressive,PP
122,royalblue,33,Aggressive,PP
123,black,41,Neutral,PP
124,fuchsia,29,Passive,PP
125,royalblue,37,Aggressive,PP
126,royalblue,20,Aggressive,PP
127,fuchsia,31,Passive,PP
128,black,28,Neutral,PP
129,black,42,Neutral,PP
130,royalblue,21,Aggressive,PP
131,royalblue,28,Aggressive,PP
132,black,30,Neutral,PP
133,royalblue,17,Aggressive,PP
134,black,20,Neutral,PP
135,black,30,Neutral,PP
136,fuchsia,28,Passive,PP
137,fuchsia,31,Passive,PP
138,black,35,Neutral,PP
139,royalblue,23,Aggressive,PP
140,royalblue,28,Aggressive,PP
141,fuchsia,31,Passive,PP
142,fuchsia,41,Passive,PP
143,black,27,Neutral,PP
144,fuchsia,26,Passive,PP
145,royalblue,23,Aggressive,PP
146,royalblue,26,Aggressive,PP
147,royalblue,32,Aggressive,PP
148,royalblue,28,Aggressive,PP
149,fuchsia,32,Passive,PP
150,royalblue,26,Aggressive,PP
151,royalblue,33,Aggressive,PP
152,royalblue,35,Aggressive,PP
153,fuchsia,42,Passive,PP
154,fuchsia,28,Passive,PP
155,fuchsia,32,Passive,PP
156,royalblue,21,Aggressive,PP
157,black,33,Neutral,PP
158,fuchsia,27,Passive,PP
159,royalblue,21,Aggressive,PP
160,black,28,Neutral,PP
161,royalblue,24,Aggressive,PP
162,royalblue,20,Aggressive,PP
163,fuchsia,27,Passive,PP
164,royalblue,22,Aggressive,PP
165,royalblue,23,Aggressive,PP
166,black,36,Neutral,PP
167,royalblue,24,Aggressive,PP
168,royalblue,26,Aggressive,PP
169,royalblue,22,Aggressive,PP
170,royalblue,23,Aggressive,PP
171,fuchsia,30,Passive,PP
172,black,32,Neutral,PP
173,black,22,Neutral,PP
174,fuchsia,24,Passive,PP
175,royalblue,24,Aggressive,PP
176,black,39,Neutral,PP
177,royalblue,31,Aggressive,PP
178,black,30,Neutral,PP
179,fuchsia,31,Passive,PP
180,fuchsia,43,Passive,PP
181,royalblue,35,Aggressive,PP
182,black,18,Neutral,PP
183,fuchsia,28,Passive,PP
184,black,42,Neutral,PP
185,royalblue,19,Aggressive,PP
186,black,23,Neutral,PP
187,royalblue,33,Aggressive,PP
188,black,20,Neutral,PP
189,black,30,Neutral,PP
190,royalblue,28,Aggressive,PP
191,fuchsia,35,Passive,PP
192,royalblue,26,Aggressive,PP
193,royalblue,33,Aggressive,PP
194,black,28,Neutral,PP
195,black,30,Neutral,PP
196,royalblue,27,Aggressive,PP
197,black,38,Neutral,PP
198,royalblue,28,Aggressive,PP
199,royalblue,28,Aggressive,PP
200,black,24,Neutral,BE
201,royalblue,23,Aggressive,BE
202,fuchsia,21,Passive,BE
203,royalblue,22,Aggressive,BE
204,royalblue,16,Aggressive,BE
