,Winner,Turn,Strategy,Goal
175,royalblue,52,Passive,BE
176,royalblue,54,Passive,BE
177,royalblue,38,Passive,BE
178,royalblue,46,Passive,BE
179,royalblue,68,Passive,BE
180,black,53,Passive,PP
181,royalblue,52,Passive,BE
182,royalblue,61,Passive,BE
183,fuchsia,70,Passive,LA
184,royalblue,49,Passive,BE
185,royalblue,49,Passive,BE
186,royalblue,89,Passive,BE
187,royalblue,58,Passive,BE
188,black,53,Passive,PP
189,royalblue,48,Passive,BE
190,fuchsia,46,Passive,LA
191,fuchsia,52,Passive,LA
192,fuchsia,55,Passive,LA
193,royalblue,40,Passive,BE
194,royalblue,57,Passive,BE
195,fuchsia,50,Passive,LA
196,royalblue,45,Passive,BE
197,royalblue,52,Passive,BE
198,fuchsia,54,Passive,LA
199,royalblue,39,Passive,BE
200,royalblue,40,Neutral,BE
201,royalblue,37,Neutral,BE
202,royalblue,39,Neutral,BE
203,fuchsia,47,Neutral,LA
204,royalblue,35,Neutral,BE
205,fuchsia,39,Neutral,LA
206,royalblue,52,Neutral,BE
207,black,39,Neutral,PP
208,fuchsia,42,Neutral,LA
209,black,45,Neutral,PP
210,royalblue,45,Neutral,BE
211,fuchsia,46,Neutral,LA
212,royalblue,35,Neutral,BE
213,royalblue,40,Neutral,BE
214,royalblue,41,Neutral,BE
215,fuchsia,53,Neutral,LA
216,fuchsia,58,Neutral,LA
217,fuchsia,43,Neutral,LA
218,royalblue,32,Neutral,BE
219,fuchsia,37,Neutral,LA
220,royalblue,40,Neutral,BE
221,royalblue,35,Neutral,BE
222,fuchsia,33,Neutral,LA
223,fuchsia,37,Neutral,LA
224,royalblue,59,Neutral,BE
225,royalblue,49,Neutral,BE
226,royalblue,40,Neutral,BE
227,royalblue,37,Neutral,BE
228,royalblue,43,Neutral,BE
229,royalblue,43,Neutral,BE
230,fuchsia,49,Neutral,LA
231,fuchsia,46,Neutral,LA
232,royalblue,40,Neutral,BE
233,black,44,Neutral,PP
234,fuchsia,38,Neutral,LA
235,black,44,Neutral,PP
236,black,40,Neutral,PP
237,fuchsia,47,Neutral,LA
238,fuchsia,41,Neutral,LA
239,fuchsia,54,Neutral,LA
240,royalblue,47,Neutral,BE
241,fuchsia,41,Neutral,LA
242,royalblue,53,Neutral,BE
243,royalblue,47,Neutral,BE
244,royalblue,33,Neutral,BE
245,fuchsia,31,Neutral,LA
246,fuchsia,41,Neutral,LA
247,royalblue,36,Neutral,BE
248,fuchsia,39,Neutral,LA
249,royalblue,62,Neutral,BE
250,royalblue,30,Neutral,BE
251,royalblue,37,Neutral,BE
252,royalblue,37,Neutral,BE
253,royalblue,46,Neutral,BE
254,royalblue,54,Neutral,BE
255,royalblue,45,Neutral,BE
256,fuchsia,43,Neutral,LA
257,fuchsia,43,Neutral,LA
258,royalblue,30,Neutral,BE
259,black,36,Neutral,PP
260,royalblue,38,Neutral,BE
261,fuchsia,46,Neutral,LA
262,royalblue,44,Neutral,BE
263,royalblue,42,Neutral,BE
264,fuchsia,47,Neutral,LA
265,fuchsia,47,Neutral,LA
266,royalblue,34,Neutral,BE
267,fuchsia,44,Neutral,LA
268,fuchsia,49,Neutral,LA
269,royalblue,35,Neutral,BE
270,fuchsia,54,Neutral,LA
271,royalblue,47,Neutral,BE
272,royalblue,37,Neutral,BE
273,royalblue,40,Neutral,BE
274,fuchsia,44,Neutral,LA
275,fuchsia,45,Neutral,LA
276,fuchsia,43,Neutral,LA
277,royalblue,47,Neutral,BE
278,black,57,Neutral,PP
279,royalblue,33,Neutral,BE
280,royalblue,43,Neutral,BE
281,fuchsia,44,Neutral,LA
282,fuchsia,46,Neutral,LA
283,fuchsia,42,Neutral,LA
284,royalblue,37,Neutral,BE
285,royalblue,39,Neutral,BE
286,fuchsia,42,Neutral,LA
287,royalblue,39,Neutral,BE
288,royalblue,39,Neutral,BE
289,royalblue,43,Neutral,BE
290,fuchsia,42,Neutral,LA
291,black,64,Neutral,PP
292,fuchsia,50,Neutral,LA
293,fuchsia,42,Neutral,LA
294,royalblue,38,Neutral,BE
295,fuchsia,41,Neutral,LA
296,fuchsia,49,Neutral,LA
297,royalblue,43,Neutral,BE
298,black,54,Neutral,PP
299,royalblue,51,Neutral,BE
300,royalblue,31,Neutral,BE
301,royalblue,37,Neutral,BE
302,royalblue,44,Neutral,BE
303,royalblue,42,Neutral,BE
304,fuchsia,45,Neutral,LA
305,royalblue,41,Neutral,BE
306,black,35,Neutral,PP
307,royalblue,37,Neutral,BE
