,Winner,Turn,Strategy,Goal
0,black,49,Passive,PP
1,black,41,Passive,PP
2,royalblue,43,Passive,BE
3,royalblue,57,Passive,BE
4,royalblue,29,Passive,BE
5,royalblue,39,Passive,BE
6,royalblue,38,Passive,BE
7,fuchsia,52,Passive,LA
8,fuchsia,49,Passive,LA
9,black,37,Passive,PP
10,royalblue,42,Passive,BE
11,royalblue,37,Passive,BE
12,royalblue,44,Passive,BE
13,royalblue,27,Passive,BE
14,royalblue,47,Passive,BE
15,royalblue,44,Passive,BE
16,royalblue,35,Passive,BE
17,royalblue,54,Passive,BE
18,royalblue,41,Passive,BE
19,royalblue,31,Passive,BE
20,royalblue,45,Passive,BE
21,royalblue,37,Passive,BE
22,royalblue,41,Passive,BE
23,royalblue,45,Passive,BE
24,royalblue,34,Passive,BE
25,royalblue,46,Passive,BE
26,royalblue,31,Passive,BE
27,royalblue,52,Passive,BE
28,black,44,Passive,PP
29,royalblue,35,Passive,BE
30,black,51,Passive,PP
31,royalblue,28,Passive,BE
32,royalblue,46,Passive,BE
33,fuchsia,48,Passive,LA
34,royalblue,43,Passive,BE
35,black,50,Passive,PP
36,royalblue,44,Passive,BE
37,royalblue,30,Passive,BE
38,royalblue,57,Passive,BE
39,fuchsia,49,Passive,LA
40,royalblue,56,Passive,BE
41,fuchsia,46,Passive,LA
42,black,38,Passive,PP
43,fuchsia,54,Passive,LA
44,royalblue,42,Passive,BE
45,black,35,Passive,PP
46,royalblue,30,Passive,BE
47,fuchsia,53,Passive,LA
48,black,47,Passive,PP
49,royalblue,50,Passive,BE
50,royalblue,39,Passive,BE
51,royalblue,40,Passive,BE
52,royalblue,44,Passive,BE
53,black,47,Passive,PP
54,royalblue,48,Passive,BE
55,royalblue,47,Passive,BE
56,fuchsia,41,Passive,LA
57,black,38,Passive,PP
58,fuchsia,42,Passive,LA
59,royalblue,38,Passive,BE
60,royalblue,46,Passive,BE
61,royalblue,47,Passive,BE
62,royalblue,38,Passive,BE
63,fuchsia,51,Passive,LA
64,royalblue,42,Passive,BE
65,royalblue,44,Passive,BE
66,royalblue,43,Passive,BE
67,royalblue,33,Passive,BE
68,fuchsia,46,Passive,LA
69,royalblue,32,Passive,BE
70,black,38,Passive,PP
71,black,47,Passive,PP
72,royalblue,42,Passive,BE
73,fuchsia,39,Passive,LA
74,royalblue,45,Passive,BE
75,black,47,Passive,PP
76,royalblue,28,Passive,BE
77,royalblue,34,Passive,BE
78,fuchsia,56,Passive,LA
79,black,54,Passive,PP
80,black,54,Passive,PP
81,royalblue,38,Passive,BE
82,royalblue,33,Passive,BE
83,royalblue,31,Passive,BE
84,royalblue,51,Passive,BE
85,fuchsia,45,Passive,LA
86,royalblue,48,Passive,BE
87,black,30,Passive,PP
88,royalblue,36,Passive,BE
89,fuchsia,52,Passive,LA
90,royalblue,36,Passive,BE
91,royalblue,35,Passive,BE
92,black,37,Passive,PP
93,fuchsia,54,Passive,LA
94,black,40,Passive,PP
95,black,34,Passive,PP
96,royalblue,30,Passive,BE
97,fuchsia,53,Passive,LA
98,fuchsia,64,Passive,LA
99,fuchsia,48,Passive,LA
100,royalblue,32,Passive,BE
101,royalblue,34,Passive,BE
102,royalblue,42,Passive,BE
103,royalblue,36,Passive,BE
104,fuchsia,39,Passive,LA
105,royalblue,41,Passive,BE
106,royalblue,47,Passive,BE
