,Winner,Turn,Strategy,Goal
0,royalblue,29,Passive,BE
1,black,32,Passive,PP
2,black,33,Passive,PP
3,royalblue,29,Passive,BE
4,fuchsia,28,Passive,LA
5,fuchsia,33,Passive,LA
6,black,34,Passive,PP
7,fuchsia,29,Passive,LA
8,royalblue,26,Passive,BE
9,royalblue,34,Passive,BE
10,royalblue,41,Passive,BE
11,royalblue,35,Passive,BE
12,royalblue,26,Passive,BE
13,royalblue,35,Passive,BE
14,royalblue,43,Passive,BE
15,royalblue,36,Passive,BE
16,fuchsia,45,Passive,LA
17,fuchsia,28,Passive,LA
18,royalblue,26,Passive,BE
19,royalblue,34,Passive,BE
20,fuchsia,43,Passive,LA
21,royalblue,28,Passive,BE
22,fuchsia,21,Passive,LA
23,royalblue,22,Passive,BE
24,royalblue,21,Passive,BE
25,royalblue,22,Passive,BE
26,fuchsia,30,Passive,LA
27,royalblue,19,Passive,BE
28,black,30,Passive,PP
29,royalblue,30,Passive,BE
30,royalblue,25,Passive,BE
31,royalblue,32,Passive,BE
32,royalblue,27,Passive,BE
33,royalblue,30,Passive,BE
34,fuchsia,36,Passive,LA
35,black,23,Passive,PP
36,royalblue,19,Passive,BE
37,royalblue,27,Passive,BE
38,fuchsia,28,Passive,LA
39,black,29,Passive,PP
40,royalblue,27,Passive,BE
41,royalblue,30,Passive,BE
42,royalblue,18,Passive,BE
43,fuchsia,26,Passive,LA
44,royalblue,24,Passive,BE
45,black,25,Passive,PP
46,royalblue,17,Passive,BE
47,fuchsia,28,Passive,LA
48,black,32,Passive,PP
49,royalblue,30,Passive,BE
50,black,34,Passive,PP
51,royalblue,20,Passive,BE
52,royalblue,26,Passive,BE
53,fuchsia,28,Passive,LA
54,black,24,Passive,PP
55,black,35,Passive,PP
56,fuchsia,30,Passive,LA
57,royalblue,24,Passive,BE
58,royalblue,30,Passive,BE
59,royalblue,31,Passive,BE
60,royalblue,29,Passive,BE
61,royalblue,23,Passive,BE
62,royalblue,48,Passive,BE
63,royalblue,36,Passive,BE
64,royalblue,30,Passive,BE
65,royalblue,41,Passive,BE
66,black,20,Passive,PP
67,black,34,Passive,PP
68,royalblue,28,Passive,BE
69,royalblue,39,Passive,BE
70,royalblue,31,Passive,BE
71,black,31,Passive,PP
72,royalblue,22,Passive,BE
73,black,28,Passive,PP
74,royalblue,22,Passive,BE
75,fuchsia,37,Passive,LA
76,royalblue,23,Passive,BE
77,black,32,Passive,PP
78,royalblue,33,Passive,BE
79,black,21,Passive,PP
80,black,23,Passive,PP
81,fuchsia,22,Passive,LA
82,royalblue,37,Passive,BE
83,royalblue,26,Passive,BE
84,royalblue,15,Passive,BE
85,fuchsia,31,Passive,LA
86,royalblue,25,Passive,BE
87,royalblue,25,Passive,BE
88,royalblue,23,Passive,BE
89,royalblue,23,Passive,BE
90,royalblue,33,Passive,BE
91,royalblue,28,Passive,BE
92,royalblue,26,Passive,BE
93,royalblue,36,Passive,BE
94,black,38,Passive,PP
95,fuchsia,33,Passive,LA
96,black,35,Passive,PP
97,royalblue,22,Passive,BE
98,royalblue,35,Passive,BE
99,black,26,Passive,PP
100,fuchsia,35,Passive,LA
101,fuchsia,31,Passive,LA
102,royalblue,33,Passive,BE
103,royalblue,33,Passive,BE
104,royalblue,25,Passive,BE
105,royalblue,38,Passive,BE
106,royalblue,39,Passive,BE
107,black,22,Passive,PP
108,royalblue,24,Passive,BE
109,fuchsia,41,Passive,LA
110,royalblue,30,Passive,BE
111,royalblue,25,Passive,BE
112,royalblue,28,Passive,BE
113,fuchsia,30,Passive,LA
114,royalblue,28,Passive,BE
115,royalblue,25,Passive,BE
116,black,28,Passive,PP
117,royalblue,28,Passive,BE
118,fuchsia,41,Passive,LA
119,royalblue,27,Passive,BE
120,royalblue,27,Passive,BE
121,black,19,Passive,PP
122,royalblue,28,Passive,BE
123,royalblue,38,Passive,BE
124,royalblue,28,Passive,BE
125,black,33,Passive,PP
126,royalblue,20,Passive,BE
127,royalblue,22,Passive,BE
128,royalblue,20,Passive,BE
129,black,23,Passive,PP
130,fuchsia,31,Passive,LA
131,fuchsia,28,Passive,LA
132,royalblue,27,Passive,BE
133,royalblue,20,Passive,BE
134,fuchsia,27,Passive,LA
135,royalblue,21,Passive,BE
136,fuchsia,23,Passive,LA
137,black,34,Passive,PP
138,black,31,Passive,PP
139,royalblue,24,Passive,BE
140,royalblue,31,Passive,BE
141,royalblue,22,Passive,BE
142,royalblue,29,Passive,BE
143,black,33,Passive,PP
144,black,29,Passive,PP
145,fuchsia,27,Passive,LA
146,royalblue,31,Passive,BE
147,black,28,Passive,PP
148,royalblue,23,Passive,BE
149,royalblue,29,Passive,BE
150,black,31,Passive,PP
151,fuchsia,32,Passive,LA
152,black,26,Passive,PP
153,black,34,Passive,PP
154,royalblue,23,Passive,BE
155,royalblue,25,Passive,BE
156,black,30,Passive,PP
157,royalblue,31,Passive,BE
158,fuchsia,37,Passive,LA
159,black,32,Passive,PP
160,fuchsia,31,Passive,LA
161,fuchsia,36,Passive,LA
162,royalblue,20,Passive,BE
163,fuchsia,42,Passive,LA
164,fuchsia,31,Passive,LA
165,fuchsia,31,Passive,LA
166,fuchsia,32,Passive,LA
167,royalblue,33,Passive,BE
168,royalblue,22,Passive,BE
169,royalblue,25,Passive,BE
170,royalblue,30,Passive,BE
171,royalblue,36,Passive,BE
172,royalblue,21,Passive,BE
173,black,32,Passive,PP
174,royalblue,24,Passive,BE
175,black,30,Passive,PP
176,black,22,Passive,PP
177,royalblue,21,Passive,BE
178,fuchsia,39,Passive,LA
179,royalblue,27,Passive,BE
180,black,25,Passive,PP
181,royalblue,33,Passive,BE
182,royalblue,26,Passive,BE
183,royalblue,35,Passive,BE
184,royalblue,23,Passive,BE
185,fuchsia,37,Passive,LA
186,royalblue,24,Passive,BE
187,royalblue,17,Passive,BE
188,royalblue,27,Passive,BE
189,fuchsia,26,Passive,LA
190,royalblue,38,Passive,BE
191,royalblue,36,Passive,BE
192,royalblue,24,Passive,BE
193,royalblue,24,Passive,BE
194,royalblue,36,Passive,BE
195,royalblue,26,Passive,BE
196,royalblue,29,Passive,BE
197,royalblue,29,Passive,BE
198,black,28,Passive,PP
199,royalblue,32,Passive,BE
200,fuchsia,28,Neutral,LA
201,royalblue,25,Neutral,BE
202,fuchsia,20,Neutral,LA
203,royalblue,32,Neutral,BE
204,royalblue,20,Neutral,BE
205,royalblue,31,Neutral,BE
206,royalblue,24,Neutral,BE
207,royalblue,23,Neutral,BE
208,royalblue,24,Neutral,BE
